marque,modele,quantite_fabriquee,quantite_vendue,prix_voiture,cout_production,pays_vente,taxe_pays,mois_vente,revenu_total,cout_total
CSL_Auto,S2,1060,958,20873.97,15183.31,South_Africa,0.15,2023-01-01,19997263.26,16094308.6
CSL_Auto,S5,227,191,70332.56,72924.95,Canada,0.12,2023-01-01,13433518.96,16553963.65
CSL_Auto,S2,1990,1614,19990.01,12986.88,Germany,0.19,2023-01-01,32263876.14,25843891.2
CSL_Auto,S5,3185,3145,91972.13,53926.13,Canada,0.12,2023-01-01,289252348.85,171754724.04999998
CSL_Auto,S5,1903,1893,95773.8,46563.92,Mexico,0.16,2023-01-01,181299803.4,88611139.75999999
CSL_Auto,S5,3747,3677,73362.71,72231.2,Canada,0.12,2023-01-01,269754684.67,270650306.4
CSL_Auto,S2,3335,3075,25964.39,12604.59,Japan,0.1,2023-01-01,79840499.25,42036307.65
CSL_Auto,S4,3741,3180,59732.83,35217.45,USA,0.08,2023-01-01,189950399.4,131748480.45
CSL_Auto,S5,4950,4128,108699.84,66206.02,France,0.2,2023-01-01,448712939.52,327719799.0
CSL_Auto,S3,4241,3336,26929.57,19241.06,Japan,0.1,2023-01-01,89837045.52,81601335.46000001
CSL_Auto,S4,2388,1827,49307.86,32430.26,United_Kingdom,0.2,2023-01-01,90085460.22,77443460.88
CSL_Auto,S4,3121,2662,45081.11,31049.98,USA,0.08,2023-01-01,120005914.82,96906987.58
CSL_Auto,S3,4874,4534,31427.93,22277.11,India,0.18,2023-01-01,142494234.62,108578634.14
CSL_Auto,S4,619,600,53949.05,30967.56,Canada,0.12,2023-01-01,32369430.0,19168919.64
CSL_Auto,S3,2207,1698,27008.66,17479.49,Germany,0.19,2023-01-01,45860704.68,38577234.43000001
CSL_Auto,S2,1328,1181,24700.93,16095.65,Mexico,0.16,2023-01-01,29171798.33,21375023.2
CSL_Auto,S4,400,357,57218.84,31718.88,Germany,0.19,2023-01-01,20427125.88,12687552.0
CSL_Auto,S2,4338,4130,21682.66,14088.12,Japan,0.1,2023-01-01,89549385.8,61114264.56
CSL_Auto,S5,4260,3587,78454.22,65863.13,Brazil,0.25,2023-01-01,281415287.14,280576933.8
CSL_Auto,S5,591,591,79891.03,62960.65,Mexico,0.16,2023-01-01,47215598.73,37209744.15
CSL_Auto,S3,709,687,27290.02,17558.14,USA,0.08,2023-01-01,18748243.74,12448721.26
CSL_Auto,S5,2437,2209,82568.72,68837.28,USA,0.08,2023-01-01,182394302.48,167756451.35999998
CSL_Auto,S4,3911,3446,50990.25,31489.25,Japan,0.1,2023-01-01,175712401.5,123154456.75
CSL_Auto,S4,4954,4799,47182.84,35864.58,South_Africa,0.15,2023-01-01,226430449.16,177673129.32000002
CSL_Auto,S4,3705,2855,63070.17,27269.08,USA,0.08,2023-01-01,180065335.35,101031941.4
CSL_Auto,S2,4423,4397,24067.99,14189.61,South_Africa,0.15,2023-01-01,105826952.03,62760645.03
CSL_Auto,S3,1646,1287,30026.78,19051.87,South_Africa,0.15,2023-01-01,38644465.86,31359378.02
CSL_Auto,S5,2741,2071,90775.69,57984.39,South_Africa,0.15,2023-01-01,187996453.99,158935212.99
CSL_Auto,S2,2094,2036,21998.29,16937.01,USA,0.08,2023-01-01,44788518.440000005,35466098.94
CSL_Auto,S1,4571,3448,14384.85,9914.04,Brazil,0.25,2023-01-01,49598962.8,45317076.84
CSL_Auto,S4,3762,3228,64417.11,32611.21,Japan,0.1,2023-01-01,207938431.08,122683372.02
CSL_Auto,S1,2605,2020,13059.56,11075.27,Mexico,0.16,2023-01-01,26380311.2,28851078.35
CSL_Auto,S4,3279,3226,47912.49,39023.08,Japan,0.1,2023-01-01,154565692.73999998,127956679.32
CSL_Auto,S1,1902,1818,13525.65,9785.2,Japan,0.1,2023-01-01,24589631.7,18611450.4
CSL_Auto,S3,3668,3491,27741.34,20256.5,Japan,0.1,2023-01-01,96845017.94,74300842.0
CSL_Auto,S3,2671,2244,33522.46,24492.74,South_Africa,0.15,2023-01-01,75224400.24,65420108.54000001
CSL_Auto,S4,1869,1858,40736.25,39611.4,USA,0.08,2023-01-01,75687952.5,74033706.60000001
CSL_Auto,S2,4920,3969,23783.38,15014.46,France,0.2,2023-01-01,94396235.22,73871143.2
CSL_Auto,S5,3261,2857,75723.17,44544.59,South_Africa,0.15,2023-01-01,216341096.69,145259907.98999998
CSL_Auto,S5,2646,2576,67428.25,57014.43,United_Kingdom,0.2,2023-01-01,173695172.0,150860181.78
CSL_Auto,S2,3563,3036,22328.15,13851.16,Brazil,0.25,2023-02-01,67788263.4,49351683.08
CSL_Auto,S5,1958,1546,89077.86,42570.33,France,0.2,2023-02-01,137714371.56,83352706.14
CSL_Auto,S3,2048,1835,39694.15,24613.55,Mexico,0.16,2023-02-01,72838765.25,50408550.4
CSL_Auto,S4,2236,1712,54921.77,30304.05,Canada,0.12,2023-02-01,94026070.24,67759855.8
CSL_Auto,S1,3607,2867,13408.7,10669.91,Canada,0.12,2023-02-01,38442742.9,38486365.37
CSL_Auto,S1,3955,3736,15662.2,8602.09,Brazil,0.25,2023-02-01,58513979.2,34021265.95
CSL_Auto,S4,2705,2398,49499.74,26304.66,India,0.18,2023-02-01,118700376.52,71154105.3
CSL_Auto,S1,1083,814,14531.39,11193.95,Brazil,0.25,2023-02-01,11828551.46,12123047.85
CSL_Auto,S1,4868,4090,16735.11,9020.63,Germany,0.19,2023-02-01,68446599.9,43912426.84
CSL_Auto,S3,4097,3742,28884.3,17655.87,South_Africa,0.15,2023-02-01,108085050.6,72336099.39
CSL_Auto,S1,2744,2314,14173.84,8987.33,Mexico,0.16,2023-02-01,32798265.76,24661233.52
CSL_Auto,S3,2978,2691,37020.18,18534.03,United_Kingdom,0.2,2023-02-01,99621304.38,55194341.34
CSL_Auto,S4,2697,2348,60844.09,40183.4,India,0.18,2023-02-01,142861923.32,108374629.8
CSL_Auto,S4,2539,2204,62021.82,29474.83,India,0.18,2023-02-01,136696091.28,74836593.37
CSL_Auto,S3,120,118,32567.4,22130.12,Mexico,0.16,2023-02-01,3842953.2,2655614.4
CSL_Auto,S5,598,535,81510.79,66490.61,France,0.2,2023-02-01,43608272.65,39761384.78
CSL_Auto,S1,2863,2498,14308.21,10386.59,Mexico,0.16,2023-02-01,35741908.58,29736807.17
CSL_Auto,S3,3761,3417,28600.37,21663.71,USA,0.08,2023-02-01,97727464.29,81477213.31
CSL_Auto,S3,537,488,29735.47,24517.45,USA,0.08,2023-02-01,14510909.36,13165870.65
CSL_Auto,S4,757,719,51486.13,27717.78,United_Kingdom,0.2,2023-02-01,37018527.47,20982359.46
CSL_Auto,S2,3791,3701,24269.7,13809.53,South_Africa,0.15,2023-02-01,89822159.7,52351928.23
CSL_Auto,S2,4917,4189,24351.53,13435.16,Japan,0.1,2023-02-01,102008559.17,66060681.72
CSL_Auto,S1,1919,1482,16545.95,11920.91,Germany,0.19,2023-02-01,24521097.9,22876226.29
CSL_Auto,S5,2049,1587,114476.53,71314.01,Japan,0.1,2023-02-01,181674253.11,146122406.48999998
CSL_Auto,S2,4978,4889,25119.6,16727.88,Brazil,0.25,2023-02-01,122809724.4,83271386.64
CSL_Auto,S1,4625,4159,14553.99,9055.33,India,0.18,2023-02-01,60530044.41,41880901.25
CSL_Auto,S2,2678,2593,18447.09,13154.04,United_Kingdom,0.2,2023-02-01,47833304.37,35226519.120000005
CSL_Auto,S1,4194,4108,15045.92,8990.9,Canada,0.12,2023-02-01,61808639.36,37707834.6
CSL_Auto,S1,2630,2442,13872.48,11729.36,Brazil,0.25,2023-02-01,33876596.16,30848216.8
CSL_Auto,S1,2977,2359,15459.92,8792.7,India,0.18,2023-02-01,36469951.28,26175867.9
CSL_Auto,S5,4434,3339,72186.05,63563.4,Mexico,0.16,2023-02-01,241029220.95,281840115.6
CSL_Auto,S1,4826,4640,13682.2,9290.24,South_Africa,0.15,2023-02-01,63485408.0,44834698.24
CSL_Auto,S1,4153,3420,17804.09,10361.44,France,0.2,2023-02-01,60889987.8,43031060.32
CSL_Auto,S1,3566,3501,15110.75,10949.97,United_Kingdom,0.2,2023-02-01,52902735.75,39047593.02
CSL_Auto,S1,1409,1338,16377.58,8363.24,Germany,0.19,2023-02-01,21913202.04,11783805.16
CSL_Auto,S3,144,117,33180.02,20316.08,Germany,0.19,2023-02-01,3882062.34,2925515.5200000005
CSL_Auto,S1,4258,4176,17614.49,8053.61,Mexico,0.16,2023-02-01,73558110.24000001,34292271.379999995
CSL_Auto,S4,147,117,56382.72,29595.17,Canada,0.12,2023-02-01,6596778.24,4350489.989999999
CSL_Auto,S5,3635,2992,112047.77,46600.29,Mexico,0.16,2023-02-01,335246927.84000003,169392054.15
CSL_Auto,S5,221,184,80935.73,56849.19,Canada,0.12,2023-02-01,14892174.319999998,12563670.99
CSL_Auto,S3,156,142,37648.44,22194.8,Mexico,0.16,2023-03-01,5346078.48,3462388.8
CSL_Auto,S3,311,309,32149.01,24913.28,United_Kingdom,0.2,2023-03-01,9934044.09,7748030.08
CSL_Auto,S4,3589,3091,59007.68,33056.95,Canada,0.12,2023-03-01,182392738.88,118641393.54999998
CSL_Auto,S4,3568,3557,48058.77,38646.31,Mexico,0.16,2023-03-01,170945044.89,137890034.07999998
CSL_Auto,S4,108,91,43508.15,27365.93,USA,0.08,2023-03-01,3959241.65,2955520.44
CSL_Auto,S1,612,549,16200.93,10763.62,United_Kingdom,0.2,2023-03-01,8894310.57,6587335.44
CSL_Auto,S2,579,505,23664.66,12365.97,Japan,0.1,2023-03-01,11950653.3,7159896.63
CSL_Auto,S4,1776,1507,61827.04,38543.84,India,0.18,2023-03-01,93173349.28,68453859.83999999
CSL_Auto,S1,2681,2458,17349.69,11875.12,France,0.2,2023-03-01,42645538.02,31837196.720000003
CSL_Auto,S5,377,308,110200.1,48107.63,Canada,0.12,2023-03-01,33941630.800000004,18136576.51
CSL_Auto,S2,1272,1032,18833.06,15021.73,South_Africa,0.15,2023-03-01,19435717.92,19107640.56
CSL_Auto,S3,2928,2232,38834.55,17663.98,Mexico,0.16,2023-03-01,86678715.60000001,51720133.44
CSL_Auto,S3,4451,3829,29151.85,25568.06,Mexico,0.16,2023-03-01,111622433.65,113803435.06
CSL_Auto,S3,3193,2781,31143.33,22539.74,United_Kingdom,0.2,2023-03-01,86609600.73,71969389.82000001
CSL_Auto,S1,4161,3290,14760.18,9217.54,South_Africa,0.15,2023-03-01,48560992.2,38354183.940000005
CSL_Auto,S4,3693,3486,45323.79,28654.73,Brazil,0.25,2023-03-01,157998731.94,105821917.89
CSL_Auto,S2,3198,2965,23244.36,14051.36,Japan,0.1,2023-03-01,68919527.4,44936249.28
CSL_Auto,S1,4094,3339,12473.93,10103.3,Brazil,0.25,2023-03-01,41650452.27,41362910.2
CSL_Auto,S5,3612,2739,119197.89,56261.89,France,0.2,2023-03-01,326483020.71,203217946.68
CSL_Auto,S5,3994,3000,93900.67,42733.03,Mexico,0.16,2023-03-01,281702010.0,170675721.82
CSL_Auto,S5,3421,2601,106271.54,74644.22,Mexico,0.16,2023-03-01,276412275.54,255357876.62
CSL_Auto,S4,2349,1970,42554.92,40397.02,Germany,0.19,2023-03-01,83833192.39999999,94892599.98
CSL_Auto,S2,1346,1060,22691.43,15827.4,India,0.18,2023-03-01,24052915.8,21303680.4
CSL_Auto,S1,786,605,14832.14,10185.72,Japan,0.1,2023-03-01,8973444.7,8005975.92
CSL_Auto,S4,1711,1565,52390.5,38355.6,Mexico,0.16,2023-03-01,81991132.5,65626431.6
CSL_Auto,S5,2171,1771,101446.31,65669.33,France,0.2,2023-03-01,179661415.01,142568115.43
CSL_Auto,S5,2451,2449,73409.47,73136.73,Canada,0.12,2023-03-01,179779792.03,179258125.23
CSL_Auto,S2,3377,2987,19361.27,16094.69,Germany,0.19,2023-03-01,57832113.49,54351768.13
CSL_Auto,S1,959,956,15711.41,10429.12,Mexico,0.16,2023-03-01,15020107.96,10001526.08
CSL_Auto,S4,1486,1428,59669.13,28538.08,Brazil,0.25,2023-03-01,85207517.64,42407586.88
CSL_Auto,S2,2248,1965,18205.02,14189.33,France,0.2,2023-03-01,35772864.300000004,31897613.84
CSL_Auto,S2,1104,834,23145.32,12798.17,India,0.18,2023-03-01,19303196.88,14129179.68
CSL_Auto,S2,2312,1972,24563.25,16241.66,South_Africa,0.15,2023-03-01,48438729.0,37550717.92
CSL_Auto,S2,1868,1507,24813.79,12733.47,Mexico,0.16,2023-03-01,37394381.53,23786121.96
CSL_Auto,S1,4709,3891,16889.32,11937.15,United_Kingdom,0.2,2023-03-01,65716344.12,56212039.35
CSL_Auto,S1,2941,2645,17460.9,11423.45,France,0.2,2023-03-01,46184080.50000001,33596366.45
CSL_Auto,S3,2382,2376,30797.72,24806.88,Japan,0.1,2023-03-01,73175382.72,59089988.16
CSL_Auto,S1,2558,2225,14079.62,11679.49,Mexico,0.16,2023-03-01,31327154.5,29876135.42
CSL_Auto,S2,3846,3314,24128.91,13077.89,Brazil,0.25,2023-03-01,79963207.74,50297564.94
CSL_Auto,S3,4668,3567,35738.92,18846.88,United_Kingdom,0.2,2023-03-01,127480727.64,87977235.84
CSL_Auto,S1,3061,2653,17004.02,9361.26,Japan,0.1,2023-04-01,45111665.06,28654816.86
CSL_Auto,S3,2963,2780,26977.83,20004.81,Mexico,0.16,2023-04-01,74998367.4,59274252.03
CSL_Auto,S2,746,726,24994.07,16908.69,Germany,0.19,2023-04-01,18145694.82,12613882.739999998
CSL_Auto,S4,2695,2253,59353.17,39020.08,South_Africa,0.15,2023-04-01,133722692.01,105159115.6
CSL_Auto,S5,705,684,118482.15,49401.93,Brazil,0.25,2023-04-01,81041790.6,34828360.65
CSL_Auto,S2,4652,4081,18563.29,14334.85,Canada,0.12,2023-04-01,75756786.49000001,66685722.2
CSL_Auto,S3,4718,4036,35260.21,23661.39,Brazil,0.25,2023-04-01,142310207.56,111634438.02
CSL_Auto,S2,1012,850,20975.08,13908.87,United_Kingdom,0.2,2023-04-01,17828818.0,14075776.44
CSL_Auto,S3,1685,1395,36436.92,20126.55,India,0.18,2023-04-01,50829503.4,33913236.75
CSL_Auto,S4,2622,2452,60371.39,36283.17,South_Africa,0.15,2023-04-01,148030648.28,95134471.74
CSL_Auto,S5,3781,3268,100817.77,71554.66,Mexico,0.16,2023-04-01,329472472.36,270548169.46000004
CSL_Auto,S5,2338,2169,73288.39,48033.98,United_Kingdom,0.2,2023-04-01,158962517.91,112303445.24
CSL_Auto,S1,3338,2694,13365.59,11642.34,Japan,0.1,2023-04-01,36006899.46,38862130.92
CSL_Auto,S2,2191,1971,23676.6,12131.73,Brazil,0.25,2023-04-01,46666578.6,26580620.43
CSL_Auto,S2,1714,1665,21935.21,15561.31,India,0.18,2023-04-01,36522124.65,26672085.34
CSL_Auto,S3,4270,3417,39241.28,23550.65,India,0.18,2023-04-01,134087453.76,100561275.5
CSL_Auto,S2,2473,2221,20888.22,12756.68,Germany,0.19,2023-04-01,46392736.620000005,31547269.64
CSL_Auto,S4,2060,1736,64897.69,39210.42,Canada,0.12,2023-04-01,112662389.84,80773465.2
CSL_Auto,S5,3518,2925,80505.41,45285.99,United_Kingdom,0.2,2023-04-01,235478324.25,159316112.82
CSL_Auto,S1,362,317,12955.92,11505.72,Mexico,0.16,2023-04-01,4107026.64,4165070.64
CSL_Auto,S2,3494,3425,25090.48,16550.18,Mexico,0.16,2023-04-01,85934894.0,57826328.92
CSL_Auto,S4,3204,2507,64816.23,31092.12,Germany,0.19,2023-04-01,162494288.61,99619152.48
CSL_Auto,S3,2478,2468,39931.26,18120.21,France,0.2,2023-04-01,98550349.68,44901880.38
CSL_Auto,S3,393,308,36293.17,24412.6,Canada,0.12,2023-04-01,11178296.36,9594151.8
CSL_Auto,S2,2029,1805,21748.16,15941.97,India,0.18,2023-04-01,39255428.8,32346257.13
CSL_Auto,S1,2167,1744,16123.43,11484.39,Japan,0.1,2023-04-01,28119261.92,24886673.13
CSL_Auto,S1,2330,2248,13564.54,9673.65,India,0.18,2023-04-01,30493085.92,22539604.5
CSL_Auto,S1,2751,2182,17517.09,9154.07,France,0.2,2023-04-01,38222290.38,25182846.57
CSL_Auto,S4,3464,3314,59757.45,27027.55,Mexico,0.16,2023-04-01,198036189.3,93623433.2
CSL_Auto,S3,737,631,30182.47,23151.76,India,0.18,2023-04-01,19045138.57,17062847.119999997
CSL_Auto,S3,2713,2050,36983.62,18117.4,India,0.18,2023-04-01,75816421.0,49152506.2
CSL_Auto,S4,3423,2747,52285.83,40518.55,Mexico,0.16,2023-04-01,143629175.01,138694996.65
CSL_Auto,S3,2503,1894,26611.84,19821.63,USA,0.08,2023-04-01,50402824.96,49613539.89
CSL_Auto,S3,3294,2912,32717.26,18036.27,South_Africa,0.15,2023-04-01,95272661.12,59411473.38
CSL_Auto,S3,1751,1655,34643.72,22283.6,USA,0.08,2023-04-01,57335356.6,39018583.6
CSL_Auto,S4,2070,2020,41227.65,27256.1,India,0.18,2023-04-01,83279853.0,56420127.0
CSL_Auto,S3,2628,2119,36284.07,23127.65,France,0.2,2023-04-01,76885944.33,60779464.2
CSL_Auto,S2,4924,4182,21396.85,14625.27,France,0.2,2023-04-01,89481626.69999999,72014829.48
CSL_Auto,S4,1193,1144,62363.48,36230.88,Canada,0.12,2023-04-01,71343821.12,43223439.84
CSL_Auto,S4,127,106,53838.82,29229.31,Canada,0.12,2023-04-01,5706914.92,3712122.37
